iid,gender,dates,match,per_match,field_cd,race,age,imprace,imprelig,goal,date,go_out,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1
1,0,10,4,0.4,1,4,21,2,4,2,7,1,6,8,8,8,7
2,0,10,2,0.2,1,2,24,2,5,1,5,1,7,5,10,8,3
3,0,10,0, -   ,2,2,25,8,4,6,3,1,8,9,8,9,8
4,0,10,2,0.2,1,2,23,1,1,1,5,1,7,8,9,7,8
5,0,10,2,0.2,1,2,21,8,1,2,4,1,6,3,6,10,8
6,0,10,2,0.2,1,4,23,1,1,1,3,1,5,7,8,9,5
7,0,10,2,0.2,1,4,22,2,4,1,5,1,6,6,5,7,7
8,0,10,8,0.8,13,2,25,1,1,1,5,1,7,4,8,8,8
9,0,10,7,0.7,13,6,26,1,1,1,4,1,7,6,10,7,7
10,0,10,2,0.2,13,2,26,4,4,2,6,1,6,8,10,6,9
11,1,10,0, -   ,8,2,27,7,3,1,5,4,8,9,7,8,5
12,1,10,2,0.2,1,2,22,1,1,1,1,1,9,9,9,10,9
13,1,10,4,0.4,1,4,22,3,5,2,7,1,4,7,8,8,3
14,1,10,8,0.8,1,2,23,1,1,2,4,1,9,9,9,9,9
15,1,10,3,0.3,1,3,24,3,1,1,4,1,7,7,7,9,9
16,1,10,2,0.2,8,2,25,9,2,1,5,1,6,6,8,8,6
17,1,10,1,0.1,13,2,30,1,1,3,3,2,7,7,6,8,4
18,1,10,1,0.1,8,2,27,8,8,1,6,1,6,8,6,8,9
19,1,10,9,0.9,8,2,28,1,1,4,1,1,10,6,10,10,10
20,1,10,1,0.1,8,2,24,1,1,1,1,1,7,7,10,10,10
21,0,16,0, -   ,5,4,21,8,10,6,7,4,5,9,7,9,10
22,0,16,2,0.13,9,1,27,1,2,1,6,2,7,8,7,8,7
23,0,16,3,0.19,3,4,21,9,6,1,1,1,5,8,6,7,8
24,0,16,0, -   ,11,2,27,2,3,2,6,4,7,9,9,8,8
25,0,16,0, -   ,11,2,25,10,2,1,5,2,7,9,7,8,6
26,0,16,0, -   ,11,2,23,2,4,1,5,2,7,8,8,8,8
27,0,16,2,0.13,3,3,22,1,5,1,6,2,6,6,7,7,7
28,0,16,1,0.06,3,2,26,0,0,0,0,0,0,0,0,0,0
29,0,16,2,0.13,11,2,22,4,5,1,6,1,6,9,8,7,8
30,0,16,2,0.13,1,2,23,2,4,1,7,2,7,8,9,8,8
